cvegeomun,nom_juri,cvegeojuri
"13039",PACHUCA,"1301"
"13040",JACALA,"1316"
"13041",ACTOPAN,"1307"
"13042",MOLANGO,"1309"
"13043",ZIMAPÁN,"1305"
"13044",HUICHAPAN,"1304"
"13045",ATOTONILCO,"1315"
"13046",HUEJUTLA,"1310"
"13047",ZIMAPÁN,"1305"
"13048",PACHUCA,"1301"
"13049",JACALA,"1316"
"13050",ACTOPAN,"1307"
"13051",PACHUCA,"1301"
"13052",PACHUCA,"1301"
"13053",OTOMÍ TEPEHUA,"1313"
"13054",ACTOPAN,"1307"
"13055",ACTOPAN,"1307"
"13056",TULANCINGO,"1302"
"13057",TULANCINGO,"1302"
"13058",ZIMAPÁN,"1305"
"13059",HUICHAPAN,"1304"
"13060",OTOMÍ TEPEHUA,"1313"
"13061",APAN,"1311"
"13062",MOLANGO,"1309"
"13063",TEPEJI,"1314"
"13064",TULA,"1303"
"13065",TEPEJI,"1314"
"13066",TIZAYUCA,"1312"
"13067",TULA,"1303"
"13068",ZACUALTIPÁN,"1317"
"13069",TIZAYUCA,"1312"
"13070",TULA,"1303"
"13071",METZTITLÁN,"1308"
"13072",APAN,"1311"
"13073",MOLANGO,"1309"
"13074",TEPEJI,"1314"
"13075",TIZAYUCA,"1312"
"13076",TULA,"1303"
"13077",TULANCINGO,"1302"
"13078",HUEJUTLA,"1310"
"13079",ZACUALTIPÁN,"1317"
"13080",HUEJUTLA,"1310"
"13081",ZACUALTIPÁN,"1317"
"13082",TIZAYUCA,"1312"
"13083",TIZAYUCA,"1312"
"13084",ZIMAPÁN,"1305"
"14001",TEPATITLÁN,"1403"
"14002",CENTRO TLAQUEPAQUE,"1412"
"14003",AMECA,"1409"
"14004",CIUDAD GUZMÁN,"1406"
"14005",AMECA,"1409"
"14006",AMECA,"1409"
"14007",AMECA,"1409"
"14008",TEPATITLÁN,"1403"
"14009",AMECA,"1409"
"14010",CIUDAD GUZMÁN,"1406"
"14011",AUTLÁN,"1407"
"14012",AMECA,"1409"
"14013",LA BARCA,"1404"
"14014",CIUDAD GUZMÁN,"1406"
"14015",AUTLÁN,"1407"
"14016",LA BARCA,"1404"
"14017",AUTLÁN,"1407"
"14018",LA BARCA,"1404"
"14019",COLOTLÁN,"1401"
"14020",PUERTO VALLARTA,"1408"
"14021",AUTLÁN,"1407"
"14022",AUTLÁN,"1407"
"14023",CIUDAD GUZMÁN,"1406"
"14024",AMECA,"1409"
"14025",COLOTLÁN,"1401"
"14026",TAMAZULA,"1405"
"14027",AUTLÁN,"1407"
"14028",AUTLÁN,"1407"
"14029",CENTRO TONALÁ,"1411"
"14030",LA BARCA,"1404"
"14031",COLOTLÁN,"1401"
"14032",AUTLÁN,"1407"
"14033",LA BARCA,"1404"
"14034",AUTLÁN,"1407"
"14035",LAGOS DE MORENO,"1402"
"14036",AMECA,"1409"
"14037",AUTLÁN,"1407"
